,Actual,Prediction
0,48,35
1,52,52
2,39,39
3,44,52
4,31,41
5,59,58
6,36,33
7,44,37
8,79,70
9,54,53
10,26,26
11,52,49
12,51,52
13,25,28
14,83,71
15,24,29
16,19,25
17,28,24
18,28,38
19,62,64
20,32,35
21,30,32
22,70,61
23,29,26
24,58,68
25,56,61
26,57,48
27,57,63
28,28,26
29,76,59
30,55,39
31,67,65
32,27,28
33,24,26
34,23,33
35,55,47
36,45,49
37,47,43
38,50,63
39,75,66
40,18,26
41,26,37
42,28,26
43,57,62
44,28,29
45,55,64
46,54,36
47,40,29
48,23,31
49,26,33
50,29,42
51,19,21
52,28,33
53,68,69
54,43,41
55,43,43
56,68,59
57,59,62
58,39,31
59,89,51
60,21,31
61,46,53
62,28,28
63,25,29
64,29,30
65,31,34
66,51,35
67,27,27
68,54,53
69,35,42
70,22,25
71,23,27
72,31,36
73,23,22
74,37,26
75,51,51
76,22,29
77,27,36
78,57,54
79,45,43
80,24,37
81,35,31
82,29,33
83,47,43
84,42,35
85,23,23
86,23,26
87,25,27
88,84,70
89,19,28
90,24,25
91,42,36
92,25,27
93,64,66
94,28,32
95,26,23
96,29,23
97,64,53
98,66,64
99,25,28
100,58,52
101,50,41
102,22,29
103,23,25
104,25,28
105,69,70
106,19,25
107,41,46
108,24,27
109,53,58
110,26,26
111,46,48
112,24,26
113,42,44
114,43,29
115,22,25
116,35,26
117,58,55
118,68,59
119,33,34
120,26,28
121,47,46
122,40,37
123,67,54
124,27,27
125,41,34
126,27,31
127,55,51
128,28,26
129,74,70
130,28,26
131,48,51
132,47,43
133,40,34
134,35,32
135,52,51
136,24,27
137,25,28
138,34,43
139,32,34
140,33,30
141,31,26
142,57,45
143,32,35
144,70,64
145,55,56
146,43,44
147,23,26
148,57,53
149,36,43
150,23,23
151,67,50
152,50,51
153,44,40
154,71,71
155,25,26
156,32,31
157,50,34
158,64,63
159,30,33
160,26,27
161,42,43
162,53,53
163,44,47
164,25,25
165,30,36
166,20,20
167,46,50
168,24,25
169,62,61
170,38,31
171,28,39
172,54,41
173,54,55
174,29,35
175,18,20
176,41,43
177,29,24
178,43,56
179,89,61
180,41,35
181,77,63
182,40,48
183,20,21
184,39,34
185,36,37
186,29,31
187,28,28
188,42,49
189,22,28
190,25,31
191,30,36
192,36,40
193,23,23
194,31,40
195,61,44
196,68,69
197,26,30
198,36,31
199,24,26
200,41,34
201,25,29
202,43,41
203,45,43
204,20,25
205,25,26
206,28,34
207,27,32
208,25,33
209,24,23
210,30,28
211,27,31
212,32,36
213,23,22
214,53,63
215,72,71
216,25,22
217,45,36
218,51,50
219,22,31
220,28,27
221,19,21
222,44,28
223,36,39
224,31,30
225,20,23
226,41,34
227,24,24
228,46,49
229,66,62
230,28,30
231,29,27
232,41,39
233,45,35
234,73,70
235,50,39
236,32,27
237,50,39
238,20,29
239,23,24
240,37,35
241,37,38
242,41,39
243,25,31
244,62,61
245,48,52
246,80,68
247,79,62
248,57,57
249,46,34
250,65,66
251,36,30
252,26,29
253,38,43
254,32,38
255,38,42
256,26,27
257,20,24
258,30,27
259,23,23
260,33,49
261,37,34
262,27,39
263,26,29
264,21,26
265,36,36
266,32,25
267,59,51
268,20,26
269,35,28
270,26,34
271,34,44
272,37,37
273,27,31
274,67,66
275,29,34
276,23,28
277,44,58
278,50,52
279,57,56
280,26,26
281,48,39
282,22,30
283,54,51
284,41,28
285,26,24
286,22,26
287,20,28
288,73,66
289,84,60
290,43,34
291,38,35
292,32,37
293,29,25
294,22,37
295,24,27
296,23,31
297,26,33
298,30,29
299,23,26
300,32,34
301,23,32
302,23,29
303,33,32
304,29,25
305,23,32
306,72,68
307,37,56
308,22,35
309,47,48
310,75,68
311,26,50
312,58,53
313,49,47
314,52,52
315,41,48
316,26,28
317,44,46
318,32,30
319,55,61
320,70,71
321,23,39
322,27,30
323,65,51
324,32,29
325,18,24
326,24,31
327,22,25
328,45,46
329,25,24
330,36,29
331,27,29
332,32,28
333,46,44
334,34,36
335,57,65
336,34,49
337,52,33
338,39,41
339,24,36
340,26,23
341,29,26
342,22,22
343,25,26
344,48,42
345,28,24
346,27,28
347,68,55
348,47,55
349,33,39
350,39,38
351,24,30
352,22,23
353,21,26
354,64,55
355,59,52
356,83,71
357,46,44
358,44,36
359,40,49
360,41,44
361,32,37
362,19,25
363,38,33
364,50,52
365,25,26
366,37,39
367,54,51
368,23,24
369,47,48
370,20,27
371,32,39
372,26,25
373,39,30
374,70,71
375,65,64
376,44,41
377,46,33
378,55,58
379,27,29
380,23,22
381,45,42
382,80,66
383,34,30
384,23,39
385,61,52
386,26,30
387,80,61
388,84,72
389,24,31
390,24,36
391,25,26
392,24,25
393,39,36
394,25,33
395,32,28
396,38,48
397,28,33
398,27,27
399,56,43
400,32,28
401,58,55
402,26,26
403,34,43
404,28,47
405,60,56
406,43,39
407,28,40
408,25,31
409,69,68
410,35,29
411,84,66
412,21,31
413,22,23
414,16,25
415,41,39
416,21,23
417,60,29
418,22,26
419,41,39
420,60,54
421,42,43
422,25,23
423,68,44
424,38,40
425,36,28
426,21,23
427,87,56
428,24,28
429,45,45
