,age,gender,race,filename,pixels,Weighted_Avg,ArgMax
4531,26,0.0,4,26_0_4_20170117153320853.jpg,[156. 161. 167. ... 141. 138. 123.],31.390487449213424,26
12550,40,0.0,0,40_0_0_20170117133805950.jpg,[206. 206. 206. ...  51.  55.  54.],42.00338923172035,40
488,19,0.0,2,19_0_2_20170116212031170.jpg,[255. 255. 255. ... 255. 255. 255.],28.860532453468977,20
7561,29,0.0,2,29_0_2_20170116172141170.jpg,[250. 251. 253. ... 208. 208. 208.],27.316138544792732,20
5000,26,1.0,1,26_1_1_20170116153419888.jpg,[136. 138. 135. ...   3.   3.   5.],28.06549002846674,26
19659,90,1.0,0,90_1_0_20170110183406830.jpg,[243. 242. 238. ... 242.  23. 103.],69.95240677931986,80
11964,38,0.0,1,38_0_1_20170116193927383.jpg,[1. 1. 1. ... 1. 1. 0.],30.54083907950161,26
7131,28,1.0,1,28_1_1_20170117180712098.jpg,[ 7.  6.  4. ... 76. 57. 50.],35.99972719220386,35
3631,26,0.0,0,26_0_0_20170113134718713.jpg,[143. 145. 140. ...  19.  41.  65.],33.50201636361635,26
2646,24,1.0,2,24_1_2_20170116174415218.jpg,[70. 58. 98. ... 50. 46. 60.],34.2834041443748,26
3084,25,0.0,3,25_0_3_20170117135612879.jpg,[ 90.  87. 104. ... 118. 159. 161.],29.572706297833633,26
7129,28,1.0,1,28_1_1_20170117140921395.jpg,[255. 255. 255. ... 254. 254. 254.],26.998834996815713,23
6113,27,1.0,0,27_1_0_20170103163215342.jpg,[84. 84. 86. ... 81. 81. 83.],28.149918492752924,20
5011,26,1.0,1,26_1_1_20170116154727986.jpg,[ 0.  0.  0. ... 57. 53. 67.],32.893064458315166,26
8895,31,1.0,1,31_1_1_20170116014139015.jpg,[31. 26. 23. ... 26. 69. 50.],29.142031474180044,26
5856,27,0.0,0,27_0_0_20170116232646294.jpg,[130.   4.   5. ...  94.   4.   4.],44.31788832183338,26
1534,22,1.0,3,22_1_3_20170119163029565.jpg,[37. 38. 33. ... 41. 45. 30.],33.765179692418315,30
17244,60,1.0,0,60_1_0_20170110143332456.jpg,[160. 155. 136. ...  18.  17.  13.],28.872074845507512,26
16555,56,1.0,3,56_1_3_20170104235453123.jpg,[164. 186. 174. ... 186. 173. 156.],36.52964651840693,37
8518,30,1.0,2,30_1_2_20170116165039591.jpg,[ 51.  38.  58. ... 188. 184. 207.],27.003835589557866,20
15951,54,0.0,3,54_0_3_20170119210212976.jpg,[ 62. 144. 218. ... 159. 155. 144.],64.89527704600488,61
7315,28,1.0,3,28_1_3_20170119195110339.jpg,[128. 119. 138. ...  96. 198. 151.],29.087751178696283,30
13679,45,0.0,0,45_0_0_20170116222010006.jpg,[ 41.  53. 105. ...  26.  26.  26.],34.37952791033064,37
18490,70,1.0,0,70_1_0_20170120222630481.jpg,[179. 144. 106. ... 118.   0.   0.],65.87982433484922,66
16653,57,1.0,0,57_1_0_20170110160643579.jpg,[196. 194. 205. ... 212. 212. 214.],58.90615070007334,61
16636,57,1.0,0,57_1_0_20170104205902805.jpg,[58. 46. 58. ... 61. 62. 64.],40.8406985274778,35
14349,47,0.0,3,47_0_3_20170119205128991.jpg,[177. 180. 189. ... 167. 174. 182.],50.45343298556827,37
6460,28,0.0,0,28_0_0_20170116003139657.jpg,[173. 188. 147. ... 122. 150.  47.],29.66416427171316,26
7202,28,1.0,2,28_1_2_20170116165438870.jpg,[ 23.  24.  52. ... 212. 207. 203.],26.139802989614335,20
9968,34,0.0,2,34_0_2_20170116193324984.jpg,[193. 179. 166. ...  42.  41.  39.],31.390472898727012,26
14307,47,0.0,0,47_0_0_20170120222544769.jpg,[140. 135. 132. ... 220. 204. 117.],64.04648012942641,61
17584,62,1.0,0,62_1_0_20170110160643751.jpg,[105.  73.  48. ...  23.  24.  28.],57.82298135160818,80
6021,27,0.0,2,27_0_2_20170116185018697.jpg,[231. 229. 250. ... 235. 234. 229.],38.2169368386908,26
12899,40,1.0,1,40_1_1_20170110153441199.jpg,[157. 185. 225. ...  69. 112. 191.],38.58390035759885,37
5170,26,1.0,1,26_1_1_20170117172351702.jpg,[238. 238. 238. ... 184. 184. 182.],29.099335367520837,26
18620,72,1.0,0,72_1_0_20170110182955408.jpg,[70. 59. 63. ... 56. 45. 51.],64.52880688396544,60
15246,52,0.0,0,52_0_0_20170104210519108.jpg,[ 85.  91.  57. ...  49.  67. 103.],51.04040504542918,52
4267,26,0.0,2,26_0_2_20170119180632923.jpg,[154. 147. 118. ... 105. 101.  89.],35.038620310028364,26
12558,40,0.0,0,40_0_0_20170117135030209.jpg,[ 94. 105. 111. ... 254.  18.  32.],46.226611238486086,37
