,age,gender,race,filename,pixels,Weighted_Avg,ArgMax
4531,26,0.0,4,26_0_4_20170117153320853.jpg,[156. 161. 167. ... 141. 138. 123.],29.53017650628999,26
12550,40,0.0,0,40_0_0_20170117133805950.jpg,[206. 206. 206. ...  51.  55.  54.],39.75223533721146,40
488,19,0.0,2,19_0_2_20170116212031170.jpg,[255. 255. 255. ... 255. 255. 255.],30.157920484520332,22
7561,29,0.0,2,29_0_2_20170116172141170.jpg,[250. 251. 253. ... 208. 208. 208.],27.181044309646868,23
5000,26,1.0,1,26_1_1_20170116153419888.jpg,[136. 138. 135. ...   3.   3.   5.],27.07922635575359,26
19659,90,1.0,0,90_1_0_20170110183406830.jpg,[243. 242. 238. ... 242.  23. 103.],74.41756542665075,73
11964,38,0.0,1,38_0_1_20170116193927383.jpg,[1. 1. 1. ... 1. 1. 0.],27.165576942468167,26
7131,28,1.0,1,28_1_1_20170117180712098.jpg,[ 7.  6.  4. ... 76. 57. 50.],31.192861141244975,28
3631,26,0.0,0,26_0_0_20170113134718713.jpg,[143. 145. 140. ...  19.  41.  65.],30.557344586740953,26
2646,24,1.0,2,24_1_2_20170116174415218.jpg,[70. 58. 98. ... 50. 46. 60.],35.61780619212186,32
3084,25,0.0,3,25_0_3_20170117135612879.jpg,[ 90.  87. 104. ... 118. 159. 161.],28.891658202862914,28
7129,28,1.0,1,28_1_1_20170117140921395.jpg,[255. 255. 255. ... 254. 254. 254.],33.20063844812012,32
6113,27,1.0,0,27_1_0_20170103163215342.jpg,[84. 84. 86. ... 81. 81. 83.],31.14594455342376,22
5011,26,1.0,1,26_1_1_20170116154727986.jpg,[ 0.  0.  0. ... 57. 53. 67.],30.33538869965969,26
8895,31,1.0,1,31_1_1_20170116014139015.jpg,[31. 26. 23. ... 26. 69. 50.],27.86563794789354,26
5856,27,0.0,0,27_0_0_20170116232646294.jpg,[130.   4.   5. ...  94.   4.   4.],44.65731526383752,26
1534,22,1.0,3,22_1_3_20170119163029565.jpg,[37. 38. 33. ... 41. 45. 30.],38.31999598037146,30
17244,60,1.0,0,60_1_0_20170110143332456.jpg,[160. 155. 136. ...  18.  17.  13.],27.984122258113256,26
16555,56,1.0,3,56_1_3_20170104235453123.jpg,[164. 186. 174. ... 186. 173. 156.],40.123149755748614,39
8518,30,1.0,2,30_1_2_20170116165039591.jpg,[ 51.  38.  58. ... 188. 184. 207.],24.821128635157343,23
15951,54,0.0,3,54_0_3_20170119210212976.jpg,[ 62. 144. 218. ... 159. 155. 144.],65.56338961920483,73
7315,28,1.0,3,28_1_3_20170119195110339.jpg,[128. 119. 138. ...  96. 198. 151.],29.72015813318392,30
13679,45,0.0,0,45_0_0_20170116222010006.jpg,[ 41.  53. 105. ...  26.  26.  26.],35.86319731758809,32
18490,70,1.0,0,70_1_0_20170120222630481.jpg,[179. 144. 106. ... 118.   0.   0.],61.8001010568496,72
16653,57,1.0,0,57_1_0_20170110160643579.jpg,[196. 194. 205. ... 212. 212. 214.],53.37424820820888,53
16636,57,1.0,0,57_1_0_20170104205902805.jpg,[58. 46. 58. ... 61. 62. 64.],47.08333115745154,60
14349,47,0.0,3,47_0_3_20170119205128991.jpg,[177. 180. 189. ... 167. 174. 182.],51.598863967758916,60
6460,28,0.0,0,28_0_0_20170116003139657.jpg,[173. 188. 147. ... 122. 150.  47.],26.598633513548734,22
7202,28,1.0,2,28_1_2_20170116165438870.jpg,[ 23.  24.  52. ... 212. 207. 203.],23.916362028956044,23
9968,34,0.0,2,34_0_2_20170116193324984.jpg,[193. 179. 166. ...  42.  41.  39.],28.84451876357651,26
14307,47,0.0,0,47_0_0_20170120222544769.jpg,[140. 135. 132. ... 220. 204. 117.],62.10482661372248,62
17584,62,1.0,0,62_1_0_20170110160643751.jpg,[105.  73.  48. ...  23.  24.  28.],51.358698823081795,26
6021,27,0.0,2,27_0_2_20170116185018697.jpg,[231. 229. 250. ... 235. 234. 229.],39.08812519952687,26
12899,40,1.0,1,40_1_1_20170110153441199.jpg,[157. 185. 225. ...  69. 112. 191.],41.83353890870876,32
5170,26,1.0,1,26_1_1_20170117172351702.jpg,[238. 238. 238. ... 184. 184. 182.],26.742847724060717,26
18620,72,1.0,0,72_1_0_20170110182955408.jpg,[70. 59. 63. ... 56. 45. 51.],62.79707408111108,60
15246,52,0.0,0,52_0_0_20170104210519108.jpg,[ 85.  91.  57. ...  49.  67. 103.],51.46219347550806,65
4267,26,0.0,2,26_0_2_20170119180632923.jpg,[154. 147. 118. ... 105. 101.  89.],37.771221425039585,26
12558,40,0.0,0,40_0_0_20170117135030209.jpg,[ 94. 105. 111. ... 254.  18.  32.],39.56238224376453,32
17464,61,1.0,0,61_1_0_20170117192159555.jpg,[ 79.  83.  69. ...  95. 106. 124.],64.28823641683994,85
15719,54,0.0,0,54_0_0_20170104212509821.jpg,[37. 27. 17. ... 63. 59. 56.],47.3107231364811,39
13126,42,0.0,0,42_0_0_20170104181513925.jpg,[190. 192. 191. ...  18.  18.  18.],38.02013471462341,30
15689,53,1.0,1,53_1_1_20170113013025665.jpg,[255. 255. 255. ... 230. 229. 234.],38.98357941298706,37
7485,29,0.0,1,29_0_1_20170116002244586.jpg,[27. 26. 21. ... 85. 55. 44.],29.7803914176601,28
13203,42,0.0,0,42_0_0_20170117185757210.jpg,[128.  25.  28. ...  20. 129. 250.],41.01727977705468,39
13317,42,1.0,0,42_1_0_20170110160632965.jpg,[ 93.  88.  85. ... 255. 204. 177.],27.26823296372865,23
8584,30,1.0,3,30_1_3_20170109132828919.jpg,[210. 191. 184. ... 184. 117. 108.],26.45670534808921,26
18122,67,0.0,0,67_0_0_20170111171747651.jpg,[154. 164. 173. ...  50.  54.  65.],58.34750499264533,61
12679,40,0.0,1,40_0_1_20170117134411786.jpg,[  5.  14.   9. ...  97. 107.  99.],32.22680010191198,28
7628,29,0.0,4,29_0_4_20170117100325932.jpg,[40. 40. 40. ... 27. 27. 27.],30.015270737145812,26
240,18,0.0,1,18_0_1_20170116205256502.jpg,[ 82. 194.  86. ... 252. 252. 252.],27.643758286477297,28
8412,30,1.0,1,30_1_1_20170112212046598.jpg,[255. 255. 255. ... 143. 194. 249.],30.3884634752485,23
18043,66,0.0,0,66_0_0_20170120225919754.jpg,[12.  8.  9. ... 32. 27. 33.],66.82984526858331,68
10630,35,0.0,2,35_0_2_20170117190149081.jpg,[19. 18. 13. ... 35. 37. 32.],30.38062582637366,26
3987,26,0.0,1,26_0_1_20170113182414254.jpg,[239. 239. 239. ... 124. 124. 124.],30.581419468711474,30
2776,24,1.0,3,24_1_3_20170119170909047.jpg,[28. 33. 11. ... 16. 14. 17.],28.282911135873007,26
14655,49,1.0,0,49_1_0_20170104185051510.jpg,[80. 63. 69. ...  1.  1.  1.],73.29807336173053,83
460,19,0.0,0,19_0_0_20170103201406775.jpg,[252. 254. 251. ...  14.  14.  24.],26.22825189272223,23
15166,51,0.0,1,51_0_1_20170117173642448.jpg,[ 87.  63.  53. ... 238. 233. 203.],51.005727710547944,65
9438,32,1.0,0,32_1_0_20170117182456548.jpg,[ 22.  22.  22. ... 113. 108. 105.],41.673967898906994,30
10889,35,1.0,0,35_1_0_20170117203415648.jpg,[255. 255. 255. ... 255. 255. 255.],41.67847108577803,37
9008,32,0.0,0,32_0_0_20170104202221514.jpg,[ 90.  85.  82. ...  40.  66. 161.],33.79217067761056,30
13990,45,1.0,0,45_1_0_20170104205620028.jpg,[67. 65. 66. ... 37. 37. 37.],37.04086812687485,32
13121,41,1.0,4,41_1_4_20170116001848468.jpg,[53. 44. 35. ...  4. 25. 20.],36.5523701637685,26
13307,42,1.0,0,42_1_0_20170105164819483.jpg,[ 51.  41.  40. ... 230. 170. 221.],38.27811574041948,32
10646,35,0.0,3,35_0_3_20170109140717487.jpg,[191. 191. 191. ...  66.  65.  71.],33.07433938770544,30
8626,30,1.0,4,30_1_4_20170103225917841.jpg,[26. 25. 20. ... 26. 25. 20.],30.640029567227305,28
5964,27,0.0,1,27_0_1_20170117012354143.jpg,[253. 253. 253. ... 179.  34.  41.],38.16148456296628,32
2030,24,0.0,0,24_0_0_20170116201407910.jpg,[ 92. 114. 137. ... 199. 207. 194.],29.943023551939348,26
6955,28,1.0,0,28_1_0_20170116165656582.jpg,[ 80.  71.  66. ... 140. 131. 126.],29.69729438686329,26
8608,30,1.0,3,30_1_3_20170119143632686.jpg,[ 79.  92.  64. ... 204. 214. 224.],32.221312990541946,23
17290,60,1.0,0,60_1_0_20170120221739950.jpg,[216. 206. 205. ...  47.  46.  51.],69.98190016437366,73
12904,40,1.0,1,40_1_1_20170112231614270.jpg,[201. 202. 206. ... 215. 218. 227.],28.05550916655261,22
3296,25,1.0,1,25_1_1_20170112191300605.jpg,[211. 202. 197. ...  82.  23.  27.],39.09108349480084,30
14699,49,1.0,1,49_1_1_20170113184406976.jpg,[ 78.  64.  29. ... 186. 155. 134.],36.18063840823015,26
2272,24,0.0,4,24_0_4_20170117194356247.jpg,[162. 162. 164. ... 161. 159. 164.],29.22113991416677,26
18947,76,1.0,3,76_1_3_20170110181654947.jpg,[255. 248. 244. ... 201.  65.  79.],64.84162038876457,63
6345,27,1.0,2,27_1_2_20170116184848621.jpg,[36. 41. 18. ...  4.  2.  7.],31.92975985256453,26
3304,25,1.0,1,25_1_1_20170112205103738.jpg,[ 69.  84. 103. ... 255. 255. 253.],34.891486101813825,26
9210,32,0.0,1,32_0_1_20170117182408963.jpg,[18.  7.  3. ... 35. 15.  8.],36.81558179487911,28
4413,26,0.0,3,26_0_3_20170119181042516.jpg,[211. 140. 136. ... 161. 151. 159.],35.216311257576976,32
446,18,1.0,4,18_1_4_20170103223026335.jpg,[88. 80. 69. ... 75. 64. 68.],32.20164805855029,30
11816,37,1.0,1,37_1_1_20170105172932885.jpg,[124. 115.  98. ... 247. 245. 246.],37.865322667275905,40
9580,32,1.0,2,32_1_2_20170116163345446.jpg,[134.  92.  44. ...  56.  60.  59.],31.1761406715018,28
17060,60,0.0,0,60_0_0_20170111205328800.jpg,[169. 165. 162. ... 216. 216. 216.],68.31129193504921,68
8217,30,0.0,3,30_0_3_20170117151144661.jpg,[194. 212. 248. ... 219. 241. 252.],25.348000322685966,23
10266,35,0.0,0,35_0_0_20170116201759726.jpg,[252. 254. 230. ... 252. 252. 252.],37.65450745226963,32
16998,59,0.0,4,59_0_4_20170117172237604.jpg,[206. 206. 206. ... 254. 150.   1.],52.211182668529545,52
2932,25,0.0,0,25_0_0_20170117140947335.jpg,[224. 227. 232. ... 199. 187. 187.],24.642933441458354,23
1136,21,1.0,3,21_1_3_20170109132139583.jpg,[108. 115.  97. ...  13.  13.  13.],23.674905948754237,23
17293,60,1.0,1,60_1_1_20170110122351600.jpg,[255. 255. 255. ... 255. 242. 233.],63.76464815920917,82
760,20,1.0,1,20_1_1_20170117195034455.jpg,[ 99. 104. 123. ... 106. 114. 117.],50.07426099422446,26
3820,26,0.0,0,26_0_0_20170117195426941.jpg,[ 61.  63.  58. ... 157. 166. 163.],38.58608889171592,26
6514,28,0.0,0,28_0_0_20170117180237845.jpg,[149. 158. 155. ...  17.   5.   7.],29.27418379185683,25
2907,25,0.0,0,25_0_0_20170116215652482.jpg,[0. 0. 0. ... 0. 0. 0.],31.43371239704203,28
6259,27,1.0,1,27_1_1_20170117193211345.jpg,[ 61.  98. 168. ... 143. 129. 128.],34.05448987201635,26
13560,44,0.0,0,44_0_0_20170117135644544.jpg,[20. 22. 19. ... 13. 13. 13.],38.67129818608066,32
6725,28,0.0,2,28_0_2_20170112213615815.jpg,[12. 12. 10. ... 25. 28. 21.],28.875695096715162,28
12863,40,1.0,0,40_1_0_20170117131101542.jpg,[ 33.  33.  33. ...  10. 101. 120.],42.931583903337014,30
8630,30,1.0,4,30_1_4_20170105165132148.jpg,[242. 245. 250. ... 242. 245. 250.],26.53100223881508,23
4350,26,0.0,3,26_0_3_20170119162753492.jpg,[181. 180. 198. ...  37.  37.  45.],26.07261365264537,28
9770,33,1.0,1,33_1_1_20170113000321114.jpg,[212. 215. 220. ... 243. 248. 252.],27.98932191499466,24
6936,28,1.0,0,28_1_0_20170108224157680.jpg,[28. 12.  0. ... 41. 36. 40.],33.59594631968821,30
